Name,Category,Energie,Joules,Vetten,Waarvan verzadigd,Koolhydraten,Waarvan suikers,Vezels,Eiwitten,Zout,Vitamine C,Kalium,-waarvan verzadigde vetzuren,-waarvan suikers,Voedingsvezel,Energie kJ,kcal,- waarvan verzadigde vetzuren,- waarvan suikers,Energie  kJ,Voedingsvezels,energie,vezel
Jumbo Vastkokende Aardappelen 500g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
CêlaVíta Verse Minikrieltjes 450g,"aardappelen,-groente-en-fruit/aardappelen",363.0,86.0,0.3,0.1,18.0,0.5,,2.0,0.01,,,,,,,,,,,1.5,,
Lamb Weston Ziggy Fries Seasoned 750g,"aardappelen,-groente-en-fruit/aardappelen",744.0,,7.0,0.83,27.0,0.2,2.4,2.2,0.55,,,,,,,,,,,,,
Peka Pof-Aardappelen Yoghurt - Knoflooksaus 500g,"aardappelen,-groente-en-fruit/aardappelen",488.0,,5.2,0.5,14.7,1.9,2.1,2.0,0.13,,,,,,,,,,,,,
Jumbo Bourgondische Mini Krieltjes 450g,"aardappelen,-groente-en-fruit/aardappelen",343.0,81.0,0.1,0.1,17.3,0.7,2.2,1.8,0.43,,,,,,,,,,,,,
Jumbo Gele Gourmand Vastkokend 750g,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
CêlaVíta Verse Friet met Schil 700g,"aardappelen,-groente-en-fruit/aardappelen",535.0,127.0,3.0,0.3,21.0,0.5,,2.5,0.08,,,,,,,,,,,3.0,,
Jumbo Rode Gourmand Vastkokend 750g,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
CêlaVíta Oma's Verse Aardappelen Vastkokend 500g,"aardappelen,-groente-en-fruit/aardappelen",363.0,86.0,0.3,0.1,18.0,0.5,,2.0,0.01,,,,,,,,,,,1.5,,
Jumbo Aardappelen Zilt Vastkokend 1kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Mini Krieltjes Bistro 200 g - Kleinverpakking,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.3,0.7,2.3,1.8,0.3,,,,,,,,,,,,,
Jumbo Mini Krieltjes 200 g - Kleinverpakking,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo BBQ Mini Krieltjes 600g,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.2,0.6,2.3,1.9,0.44,,,,,,,,,,,,,
Jumbo Aardappelpuree met Groente Knolselderij 500g,"aardappelen,-groente-en-fruit/aardappelen",304.0,72.0,0.9,0.6,13.1,1.2,1.8,2.0,0.45,,,,,,,,,,,,,
Jumbo Gekruide Opbakaardappelen met Schil 200 g - Kleinverpakking,"aardappelen,-groente-en-fruit/aardappelen",348.0,82.0,0.1,0.1,17.4,0.9,2.3,1.9,0.29,,,,,,,,,,,,,
Jumbo Aardappelschijfjes Voorgekookt Kleinverpakking 200g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Winiary Aardappelpuree met Croutons en Gebakken Uitjes 59g,"aardappelen,-groente-en-fruit/aardappelen",,,5.4,2.9,15.4,1.3,,2.2,0.83,,,,,,,,,,,,508.0,1.2
Jumbo Bourgondische Mini Krieltjes 200g - Kleinverpakking,"aardappelen,-groente-en-fruit/aardappelen",343.0,81.0,0.1,0.1,17.3,0.7,2.2,1.8,0.43,,,,,,,,,,,,,
"Jumbo Frietaardappelen 1, 5kg","aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Verse Friet in Schil 1kg,"aardappelen,-groente-en-fruit/aardappelen",132.0,,4.2,0.4,19.4,0.2,2.9,2.8,0.03,,,,,,,,,,,,,
